rank,lambda_real,lambda_imag,magnitude,argument_rad,b_real,b_imag,abs_b,abs_b_sq,var_frac_of_top20
1,1.0000000000000002,0.0,1.0000000000000002,0.0,-1.2739375526704775e-18,0.0,1.2739375526704775e-18,1.6229168881040457e-36,0.0011103567835858393
2,0.002958917963587197,0.0,0.002958917963587197,0.0,-1.3362791775883845e-17,0.0,1.3362791775883845e-17,1.7856420404562893e-34,0.1221689026227934
3,0.001842113089035995,0.0023140408395886116,0.002957729811879662,0.8984630434745275,-7.9959910220806e-18,-1.0716237332187788e-17,1.3370625078318845e-17,1.787736149849688e-34,0.12231217604533122
4,0.001842113089035995,-0.0023140408395886116,0.002957729811879662,-0.8984630434745275,-7.9959910220806e-18,1.0716237332187788e-17,1.3370625078318845e-17,1.787736149849688e-34,0.12231217604533122
5,-0.0006607396439984051,0.002880121131727785,0.002954940711854652,1.7963079320321214,2.7240579583698307e-18,-1.3249712877425396e-17,1.3526839360869574e-17,1.8297538309477038e-34,0.12518691458429806
6,-0.0006607396439984051,-0.002880121131727785,0.002954940711854652,-1.7963079320321214,2.7240579583698307e-18,1.3249712877425396e-17,1.3526839360869574e-17,1.8297538309477038e-34,0.12518691458429806
7,-0.002660832426833936,0.0012797272088483382,0.0029525803854861823,2.693300902817069,1.241411487495904e-17,-5.945324256777941e-18,1.3764342652190531e-17,1.8945712864691147e-34,0.1296215533486436
8,-0.002660832426833936,-0.0012797272088483382,0.0029525803854861823,-2.693300902817069,1.241411487495904e-17,5.945324256777941e-18,1.3764342652190531e-17,1.8945712864691147e-34,0.1296215533486436
9,0.0012100114288806035,0.0,0.0012100114288806035,0.0,-4.7128913185229294e-18,0.0,4.7128913185229294e-18,2.2211344580208796e-35,0.015196414128149906
10,0.000602841084947701,0.0010479296778588682,0.0012089557408930703,1.0487601772090074,2.2937652211646472e-18,4.073747057176683e-18,4.675122883484474e-18,2.1856773975680185e-35,0.014953826304408415
11,0.000602841084947701,-0.0010479296778588682,0.0012089557408930703,-1.0487601772090074,2.2937652211646472e-18,-4.073747057176683e-18,4.675122883484474e-18,2.1856773975680185e-35,0.014953826304408415
12,-0.0006050591157991886,0.001044091656104752,0.0012067410326823478,2.096011636361831,-2.4089617019912305e-18,4.078390849135552e-18,4.736704381737697e-18,2.2436368399973097e-35,0.015350369470271944
13,-0.0006050591157991886,-0.001044091656104752,0.0012067410326823478,-2.096011636361831,-2.4089617019912305e-18,-4.078390849135552e-18,4.736704381737697e-18,2.2436368399973097e-35,0.015350369470271944
14,-0.0012055753561456928,0.0,0.0012055753561456928,3.141592653589793,4.7908183496703204e-18,0.0,4.7908183496703204e-18,2.2951940459537853e-35,0.01570311022857031
15,-0.0010508598788852303,0.0,0.0010508598788852303,3.141592653589793,2.8223137802513295e-18,0.0,2.8223137802513295e-18,7.96545507419655e-36,0.005449753552269006
16,-0.0005230827407698747,-0.0009100092362518074,0.0010496343952800526,-2.0924880788045384,1.4230153513872242e-18,2.3933908541405316e-18,2.784473463864802e-18,7.75329247096725e-36,0.005304597514122103
17,-0.0005230827407698747,0.0009100092362518074,0.0010496343952800526,2.0924880788045384,1.4230153513872242e-18,-2.3933908541405316e-18,2.784473463864802e-18,7.75329247096725e-36,0.005304597514122103
18,0.0005253254762562953,-0.0009061281966840907,0.0010473944647695374,-1.0454015608361196,1.2807138162485021e-18,-2.3843084110146997e-18,2.706502258998733e-18,7.325154477965246e-36,0.00501167683018248
19,0.0005253254762562953,0.0009061281966840907,0.0010473944647695374,1.0454015608361196,1.2807138162485021e-18,2.3843084110146997e-18,2.706502258998733e-18,7.325154477965246e-36,0.00501167683018248
20,0.0010463743968964722,0.0,0.0010463743968964722,0.0,2.673235981534572e-18,0.0,2.673235981534572e-18,7.146190612971106e-36,0.004889234490115929
