rank,sigma_top,d_i,d_i_sq,d_var_frac,c_i,c_i_sq,c_var_frac
1,0.6705540747520687,-0.0030566566921309012,9.343150133548622e-06,0.027300741494598865,-0.0020496536000265534,4.201079880101811e-06,0.027690148947412674
2,0.6705540747520684,0.006196906614948318,3.840165159439023e-05,0.11220985943269944,0.00415536098151164,1.7267024886669378e-05,0.1138103784351202
3,0.6703471100957077,0.007296872779765763,5.3244352364086524e-05,0.15558032132222244,0.004891437580652009,2.392616160541478e-05,0.15770206649290033
4,0.6703471100957072,0.005367213154060119,2.880697704111597e-05,0.08417416205444718,0.0035978958270918727,1.294485438260511e-05,0.08532209721949312
5,0.6695245070213736,-0.0003733253378085667,1.3937180784988043e-07,0.0004072452698883616,-0.00024995046275487,6.247523383137364e-08,0.0004117866309824242
6,0.6695245070213734,-0.0029462938318880845,8.680647343821773e-06,0.02536490431514066,-0.0019726159253349784,3.891213588885173e-06,0.02564775889474766
7,0.6689130467444491,0.005873207290937575,3.449456388232229e-05,0.10079332538377289,0.003928664983142774,1.543440854977221e-05,0.10173124145595984
8,0.6689130467444491,-0.0005984853031359913,3.5818465806977937e-07,0.001046617748566594,-0.00040033462755246596,1.6026781401757165e-07,0.001056356881629978
9,0.6673052976288245,0.0006854065154541661,4.69782091427022e-07,0.001372706127325166,0.0004573753987918741,2.0919225542002586e-07,0.001378827557805288
10,0.6673052976288234,0.0008012655397048835,6.420264651185583e-07,0.0018760052344610693,0.0005346887394524797,2.8589204809728167e-07,0.0018843710713976588
11,0.6663171482171933,-0.0014957495067708369,2.237266587005202e-06,0.006537306569335204,-0.0009966435457988197,9.93298357382444e-07,0.006547026062373672
12,0.6663171482171931,-0.004052129125202997,1.6419750447318406e-05,0.04797861063566212,-0.002700003122913086,7.2900168637404164e-06,0.04804994395422691
13,0.6639972449226917,0.006426849917597296,4.130439986332037e-05,0.1206917075226067,0.004267410638816234,1.821079356028198e-05,0.12003094454908843
14,0.6639972449226916,-0.0030086707869807,9.052099904431064e-06,0.02645029095559374,-0.0019977491134345686,3.991001520228605e-06,0.026305480899782914
15,0.6626772016705247,0.0035823165138180275,1.2832991605173346e-05,0.03749807949218176,0.0023739194828750346,5.635493711173672e-06,0.03714465440034067
16,0.6626772016705246,-0.0007444696575969127,5.542350710824644e-07,0.0016194782473345603,-0.0004933430694249438,2.4338738414962493e-07,0.001604214418998606
17,0.6597502119159817,0.004541819126612743,2.0628120978865336e-05,0.06027549491484188,0.002996466131266821,8.978809275829148e-06,0.05918110898003071
18,0.6597502119159813,-0.0001960631280567024,3.844075018337889e-08,0.00011232410574743543,-0.00012935269028431571,1.6732118483790106e-08,0.00011028470446762287
19,0.6581580604885944,-0.006663905216851331,4.440763273917838e-05,0.12975937285286104,-0.004385902932802702,1.9236144535967342e-05,0.12678923576239773
20,0.6581580604885938,0.0044916579328779585,2.0174990985985495e-05,0.0589514463207128,0.0029562208734811666,8.739241852805751e-06,0.05760207268084353
