c,k,sum_pi_sq,sum_pi_km1_sq,d_sq,S_k,eps_k
1,1,5.555555555555556e-01,1.000000000000000e+00,2.222222222222223e-01,6.666666666666667e-01,2.000000000000001e-01
1,2,2.380952380952381e-01,5.555555555555556e-01,5.291005291005285e-02,4.761904761904757e-01,9.523809523808990e-03
1,3,9.646043789621914e-02,2.380952380952381e-01,1.709535853113979e-02,4.615746803407743e-01,-5.091986325892361e-03
1,4,3.788452137797858e-02,9.646043789621914e-02,5.731042079238871e-03,4.642144084183485e-01,-2.452258248318129e-03
1,5,1.454387305089630e-02,3.788452137797858e-02,1.915699258236772e-03,4.655149197515356e-01,-1.151746915131036e-03
1,6,5.487421004621738e-03,1.454387305089630e-02,6.394633209896384e-04,4.661687610014464e-01,-4.979056652202885e-04
1,7,2.041985067309346e-03,5.487421004621738e-03,2.128447324354335e-04,4.654914298362930e-01,-1.175236830373627e-03
5,1,5.555555555555556e-01,1.000000000000000e+00,2.222222222222223e-01,6.666666666666667e-01,2.000000000000001e-01
5,2,2.380952380952381e-01,5.555555555555556e-01,5.291005291005288e-02,4.761904761904759e-01,9.523809523809268e-03
5,3,9.646043789621914e-02,2.380952380952381e-01,1.709535853113978e-02,4.615746803407740e-01,-5.091986325892695e-03
5,4,3.788452137797858e-02,9.646043789621914e-02,5.731042079238871e-03,4.642144084183485e-01,-2.452258248318129e-03
5,5,1.454387305089630e-02,3.788452137797858e-02,1.915699258236769e-03,4.655149197515348e-01,-1.151746915131868e-03
5,6,5.487421004621736e-03,1.454387305089630e-02,6.394633209896375e-04,4.661687610014457e-01,-4.979056652209546e-04
5,7,2.041985067309345e-03,5.487421004621736e-03,2.128447324354331e-04,4.654914298362921e-01,-1.175236830374571e-03
7,1,5.555555555555556e-01,1.000000000000000e+00,2.222222222222223e-01,6.666666666666667e-01,2.000000000000001e-01
7,2,2.380952380952381e-01,5.555555555555556e-01,5.291005291005291e-02,4.761904761904762e-01,9.523809523809490e-03
7,3,9.646043789621916e-02,2.380952380952381e-01,1.709535853113979e-02,4.615746803407743e-01,-5.091986325892361e-03
7,4,3.788452137797859e-02,9.646043789621916e-02,5.731042079238871e-03,4.642144084183485e-01,-2.452258248318129e-03
7,5,1.454387305089629e-02,3.788452137797859e-02,1.915699258236763e-03,4.655149197515335e-01,-1.151746915133145e-03
7,6,5.487421004621739e-03,1.454387305089629e-02,6.394633209896410e-04,4.661687610014483e-01,-4.979056652184011e-04
7,7,2.041985067309346e-03,5.487421004621739e-03,2.128447324354326e-04,4.654914298362912e-01,-1.175236830375515e-03
11,1,5.555555555555556e-01,1.000000000000000e+00,2.222222222222223e-01,6.666666666666667e-01,2.000000000000001e-01
11,2,2.380952380952381e-01,5.555555555555556e-01,5.291005291005288e-02,4.761904761904759e-01,9.523809523809268e-03
11,3,9.646043789621912e-02,2.380952380952381e-01,1.709535853113976e-02,4.615746803407736e-01,-5.091986325893083e-03
11,4,3.788452137797858e-02,9.646043789621912e-02,5.731042079238878e-03,4.642144084183491e-01,-2.452258248317574e-03
11,5,1.454387305089630e-02,3.788452137797858e-02,1.915699258236770e-03,4.655149197515352e-01,-1.151746915131480e-03
11,6,5.487421004621740e-03,1.454387305089630e-02,6.394633209896401e-04,4.661687610014476e-01,-4.979056652190672e-04
11,7,2.041985067309346e-03,5.487421004621740e-03,2.128447324354328e-04,4.654914298362916e-01,-1.175236830375070e-03
