c,order,n_eq,alphas,roots,ss_res,r2,top_root_abs
1,1,5,-0.2578121903,(-0.257812+0.000000j),2.6641009798e-05,-9.8906725587e-01,2.5781219029e-01
1,2,4,"0.5030970501,0.0120237759","(+0.525958+0.000000j),(-0.022861+0.000000j)",8.6258450954e-07,5.7023583148e-01,5.2595777477e-01
5,1,5,-0.2578121903,(-0.257812+0.000000j),2.6641009798e-05,-9.8906725587e-01,2.5781219029e-01
5,2,4,"0.5030970501,0.0120237759","(+0.525958+0.000000j),(-0.022861+0.000000j)",8.6258450954e-07,5.7023583148e-01,5.2595777477e-01
7,1,5,-0.2578121903,(-0.257812+0.000000j),2.6641009798e-05,-9.8906725587e-01,2.5781219029e-01
7,2,4,"0.5030970501,0.0120237759","(+0.525958+0.000000j),(-0.022861+0.000000j)",8.6258450955e-07,5.7023583148e-01,5.2595777477e-01
11,1,5,-0.2578121903,(-0.257812+0.000000j),2.6641009798e-05,-9.8906725587e-01,2.5781219029e-01
11,2,4,"0.5030970501,0.0120237759","(+0.525958+0.000000j),(-0.022861+0.000000j)",8.6258450954e-07,5.7023583148e-01,5.2595777477e-01
